v.alpha	j.alpha	v.beta	j.beta	signature	x	y	cid	csize	csign	cid2	subset	count	count.a	count.b	total	count.exp	p.value	trio.type	p.adj
TRAV29DV5	TRAJ52	TRBV5-1	X	TRAV29DV5 TRAJ52 TRBV5-1	-1151.20751770392	-490.659196264885	33	5	Va29DV5 Vb5-1	Va29DV5 Vb5-1		52	478	14954.8	294736	24.253550295858	1.17697506518688e-07	Va-Ja-Vb	0.017451715476565
TRAV29DV5	TRAJ6	TRBV5-1	X	TRAV29DV5 TRAJ6 TRBV5-1	-1258.47914781779	-536.150072999636	33	5	Va29DV5 Vb5-1	Va29DV5 Vb5-1		22	86	14954.8	294736	4.36360946745562	3.41117134539104e-11	Va-Ja-Vb	5.06153015400468e-06
TRAV29DV5	X	TRBV16	TRBJ1-1	TRAV29DV5 TRBV16 TRBJ1-1	1136.04786889277	1341.00167442746	31	1	Va29DV5 Vb16 Jb1-1	Singleton		11	12875	43	294736	1.87837590250258	2.07019457021396e-07	Va-Vb-Jb	0.0306920836396211
TRAV29DV5	X	TRBV18	TRBJ1-1	TRAV29DV5 TRBV18 TRBJ1-1	767.342588735095	1125.70834824232	32	5	Va29DV5 Vb18 Jb1-1	Va29DV5 Vb18 Jb1-1		89	12875	1005	294736	43.9015763259324	2.205012838985e-10	Va-Vb-Jb	3.27155549907365e-05
TRAV29DV5	X	TRBV18	TRBJ1-2	TRAV29DV5 TRBV18 TRBJ1-2	558.203549989332	1013.53805297906	32	5	Va29DV5 Vb18 Jb1-1	Va29DV5 Vb18 Jb1-1		69.5	12875	720	294736	31.4518755767874	7.04534430795434e-10	Va-Vb-Jb	0.000104521205480657
TRAV29DV5	X	TRBV18	TRBJ1-5	TRAV29DV5 TRBV18 TRBJ1-5	608.382682564013	1176.38216201124	32	5	Va29DV5 Vb18 Jb1-1	Va29DV5 Vb18 Jb1-1		66	12875	597	294736	26.0788468324195	3.43847172956657e-12	Va-Vb-Jb	5.10241696893843e-07
TRAV29DV5	X	TRBV18	TRBJ1-6	TRAV29DV5 TRBV18 TRBJ1-6	715.07403377805	963.546580812824	32	5	Va29DV5 Vb18 Jb1-1	Va29DV5 Vb18 Jb1-1		40	12875	379	294736	16.5559178383367	1.27676564654067e-07	Va-Vb-Jb	0.0189311149475171
TRAV29DV5	X	TRBV5-1	TRBJ1-5	TRAV29DV5 TRBV5-1 TRBJ1-5	-1285.3088885088	-454.693344794639	33	5	Va29DV5 Vb5-1	Va29DV5 Vb5-1		55	12875	545.75	294736	23.8400848555996	5.12769871008345e-09	Va-Vb-Jb	0.000760642826653779
TRAV29DV5	X	TRBV5-1	TRBJ2-1	TRAV29DV5 TRBV5-1 TRBJ2-1	-1193.00485771098	-415.246537139404	33	5	Va29DV5 Vb5-1	Va29DV5 Vb5-1		167.5	12875	2519.65	294736	110.066275412573	7.55939035812503e-08	Va-Vb-Jb	0.0112095931803529
TRAV29DV5	X	TRBV7-9	TRBJ1-2	TRAV29DV5 TRBV7-9 TRBJ1-2	1714.27742374157	467.943264598617	34	1	Va29DV5 Vb7-9 Jb1-2	Singleton		89.4	12875	1093.95	294736	47.7871934544813	1.33335615881691e-08	Va-Vb-Jb	0.00197770052256518
TRAV3	TRAJ42	TRBV30	X	TRAV3 TRAJ42 TRBV30	-20.9645356922586	2017.95002052987	70	1	Va3 Ja42 Vb30	Singleton		22	183.666666666667	8514	294736	5.30555480158515	4.89064388986549e-09	Va-Ja-Vb	0.000725483005266536
TRAV34	TRAJ26	X	TRBJ1-6	TRAV34 TRAJ26 TRBJ1-6	-775.309032103149	-1437.78543333523	44	1	Va34 Ja26 Jb1-6	Singleton		13	40	12287	294736	1.66752619293198	3.945831439367e-10	Va-Ja-Jb	5.85415389838806e-05
TRAV35	TRAJ42	X	TRBJ1-2	TRAV35 TRAJ42 TRBJ1-2	255.887785596786	-2078.11406776422	45	1	Va35 Ja42 Jb1-2	Singleton		68	361	27378.5	294736	33.533869293198	7.39550976014414e-09	Va-Ja-Jb	0.00109700554476122
TRAV36DV7	TRAJ23	X	TRBJ1-4	TRAV36DV7 TRAJ23 TRBJ1-4	1289.5802625734	1805.84950771731	46	1	Va36DV7 Ja23 Jb1-4	Singleton		10	70	5192.5	294736	1.23322227349221	4.18419766612388e-08	Va-Ja-Jb	0.00620541619072168
TRAV38-2DV8	TRAJ9	TRBV7-9	X	TRAV38-2DV8 TRAJ9 TRBV7-9	-1604.69810263736	-839.611656195564	71	1	Va38-2DV8 Ja9 Vb7-9	Singleton		15.25	49.5	11343.9333333333	294736	1.90517853265295	2.28443930438971e-11	Va-Ja-Vb	3.38976526181867e-06
TRAV39	TRAJ40	TRBV9	X	TRAV39 TRAJ40 TRBV9	1692.05280365334	-55.6048485973688	35	2	Va39 Ja40 Vb9 Jb2-1	Va39 Ja40 Vb9 Jb2-1		31	235	12008.7	294736	9.5748211959177	2.94396451661072e-09	Va-Ja-Vb	0.000436725360181134
TRAV39	TRAJ45	TRBV20-1	X	TRAV39 TRAJ45 TRBV20-1	1196.70415487953	-1798.65561204596	72	1	Va39 Ja45 Vb20-1	Singleton		61	256	32052.5	294736	27.8399652570436	1.15731069172398e-09	Va-Ja-Vb	0.000171689355738636
TRAV39	X	TRBV9	TRBJ2-1	TRAV39 TRBV9 TRBJ2-1	1785.92197827099	-37.3086242045907	35	2	Va39 Ja40 Vb9 Jb2-1	Va39 Ja40 Vb9 Jb2-1		72	3867	2449.33333333333	294736	32.1357825308072	2.51092702185929e-10	Va-Vb-Jb	3.72541220379219e-05
TRAV4	TRAJ15	TRBV20-1	X	TRAV4 TRAJ15 TRBV20-1	241.575258214395	664.227881105878	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		40	142	32052.5	294736	15.4424807285164	3.30551697125259e-09	Va-Ja-Vb	0.000490353609583494
TRAV4	TRAJ9	TRBV13	X	TRAV4 TRAJ9 TRBV13	482.054234226809	-1611.26516442268	73	1	Va4 Ja9 Vb13	Singleton		11	230	2020.95	294736	1.57706727376364	9.07650272718996e-08	Va-Ja-Vb	0.0134589105389591
TRAV41	TRAJ43	TRBV18	X	TRAV41 TRAJ43 TRBV18	947.442284006222	659.222132440068	74	1	Va41 Ja43 Vb18	Singleton		19	186	7988	294736	5.04101297432278	2.10751501805717e-07	Va-Ja-Vb	0.0312449639002066
TRAV41	TRAJ49	TRBV5-1	X	TRAV41 TRAJ49 TRBV5-1	1284.66460155854	372.122605355689	37	2	Va41 Ja49 Vb5-1 Jb1-2	Va41 Ja49 Vb5-1 Jb1-2		60	504	14954.8	294736	25.5727810650888	4.94158491903818e-10	Va-Ja-Vb	7.33138480173423e-05
TRAV41	TRAJ50	TRBV2	X	TRAV41 TRAJ50 TRBV2	-442.541723103194	-819.220364748321	75	1	Va41 Ja50 Vb2	Singleton		15	33	9612.33333333333	294736	1.07624111068889	1.11022302462516e-15	Va-Ja-Vb	1.64762647969496e-10
TRAV41	X	TRBV14	TRBJ1-1	TRAV41 TRBV14 TRBJ1-1	-1685.66628187595	-1238.68016570289	36	1	Va41 Vb14 Jb1-1	Singleton		27	4719.33333333333	511	294736	8.18216754428822	3.01910900724067e-08	Va-Vb-Jb	0.00447770095081879
TRAV41	X	TRBV5-1	TRBJ1-2	TRAV41 TRBV5-1 TRBJ1-2	1328.00989157728	287.374208696914	37	2	Va41 Ja49 Vb5-1 Jb1-2	Va41 Ja49 Vb5-1 Jb1-2		43	4719.33333333333	1112.33333333333	294736	17.8107587053423	8.20612897634021e-08	Va-Vb-Jb	0.0121684583525661
TRAV5	TRAJ34	TRBV28	X	TRAV5 TRAJ34 TRBV28	-573.000504866238	-1767.06189410313	76	1	Va5 Ja34 Vb28	Singleton		35	212.5	16998.5	294736	12.2556499714999	7.21919202195664e-09	Va-Ja-Vb	0.00107085884857694
TRAV6	TRAJ16	TRBV20-1	X	TRAV6 TRAJ16 TRBV20-1	1245.72561213595	-358.984698774068	77	1	Va6 Ja16 Vb20-1	Singleton		40	134	32052.5	294736	14.5724818142338	4.84434936609546e-10	Va-Ja-Vb	7.18717360652654e-05
TRAV6	TRAJ22	TRBV14	X	TRAV6 TRAJ22 TRBV14	-1589.87455723574	-1729.49542609071	78	1	Va6 Ja22 Vb14	Singleton		13	159	4149	294736	2.23824371641062	7.35463892009847e-08	Va-Ja-Vb	0.0109061205082248
TRAV6	TRAJ23	TRBV20-1	X	TRAV6 TRAJ23 TRBV20-1	472.823596695589	519.841629268319	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		58	246	32052.5	294736	26.7524666141903	4.22549395473482e-09	Va-Ja-Vb	0.000626818224233272
TRAV8-1	TRAJ34	TRBV28	X	TRAV8-1 TRAJ34 TRBV28	-846.721871241325	-1061.72019094649	79	1	Va8-1 Ja34 Vb28	Singleton		37	176.5	16998.5	294736	10.1793986822105	1.86206605690131e-12	Va-Ja-Vb	2.76317568381756e-07
TRAV8-1	TRAJ6	TRBV30	X	TRAV8-1 TRAJ6 TRBV30	-1659.01262708335	439.889515307435	80	1	Va8-1 Ja6 Vb30	Singleton		20	169	8514	294736	4.88188073394495	2.47844391676466e-08	Va-Ja-Vb	0.00367595366402784
TRAV8-2	X	TRBV14	TRBJ2-1	TRAV8-2 TRBV14 TRBJ2-1	-271.809764561722	755.658897215907	38	1	Va8-2 Vb14 Jb2-1	Singleton		43.5	7590.83333333333	722	294736	18.5948837830013	2.30705931358877e-07	Va-Vb-Jb	0.0342021543239535
TRAV8-3	TRAJ10	TRBV2	X	TRAV8-3 TRAJ10 TRBV2	736.793330473739	1642.11556629974	1	2	Va8-3 Ja10 Vb2 Jb2-7	Va8-3 Ja10 Vb2 Jb2-7		45	475	9612.33333333333	294736	15.4913493205219	9.63511492813041e-11	Va-Ja-Vb	1.42962944769121e-05
TRAV8-3	TRAJ20	X	TRBJ2-5	TRAV8-3 TRAJ20 TRBJ2-5	-1425.40071229196	1577.57808127379	47	1	Va8-3 Ja20 Jb2-5	Singleton		76.6666666666667	410	29312.8333333333	294736	40.776361444366	4.35231575224293e-08	Va-Ja-Jb	0.00645470187636388
TRAV8-3	TRAJ21	TRBV14	X	TRAV8-3 TRAJ21 TRBV14	35.0141810631037	1423.54555124253	81	1	Va8-3 Ja21 Vb14	Singleton		14	147	4149	294736	2.06931966234189	3.4110390068065e-09	Va-Ja-Vb	0.000506003759386697
TRAV8-3	TRAJ34	TRBV15	X	TRAV8-3 TRAJ34 TRBV15	57.2733701748405	-832.57572569645	82	1	Va8-3 Ja34 Vb15	Singleton		27	338.833333333333	4756	294736	5.46757550259667	3.51108031537706e-12	Va-Ja-Vb	5.21012719079117e-07
TRAV8-3	TRAJ49	X	TRBJ2-4	TRAV8-3 TRAJ49 TRBJ2-4	36.5619360710178	-348.166062515329	48	1	Va8-3 Ja49 Jb2-4	Singleton		24.3333333333333	340	5658.33333333333	294736	6.52731031612471	1.72059142489189e-08	Va-Ja-Jb	0.0025519984073139
TRAV8-3	TRAJ8	TRBV28	X	TRAV8-3 TRAJ8 TRBV28	-1206.599872626	-987.727259427077	83	1	Va8-3 Ja8 Vb28	Singleton		36	226	16998.5	294736	13.0342442049834	1.0877800660225e-08	Va-Ja-Vb	0.0016134715385292
TRAV8-4	X	TRBV14	TRBJ2-1	TRAV8-4 TRBV14 TRBJ2-1	38.4601606321496	-1736.80077482361	39	1	Va8-4 Vb14 Jb2-1	Singleton		43.5	7594.33333333333	722	294736	18.6034575574978	2.33164315410761e-07	Va-Vb-Jb	0.0345663765953299
TRAV9-2	TRAJ23	TRBV20-1	X	TRAV9-2 TRAJ23 TRBV20-1	529.380431457787	406.792154922833	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		98	474	32052.5	294736	51.5474356712448	1.75567560489753e-10	Va-Ja-Vb	2.60491345174252e-05
TRAV9-2	TRAJ53	TRBV9	X	TRAV9-2 TRAJ53 TRBV9	-1032.0555968729	2006.6612662837	84	1	Va9-2 Ja53 Vb9	Singleton		54.5	616.25	12008.7	294736	25.1084406892948	7.63415687332625e-08	Va-Ja-Vb	0.0113203858611806
TRAV9-2	TRAJ57	TRBV12-5	X	TRAV9-2 TRAJ57 TRBV12-5	890.649744079698	-1109.71107298242	85	1	Va9-2 Ja57 Vb12-5	Singleton		12	479	1031	294736	1.67556389446827	2.33140098337969e-08	Va-Ja-Vb	0.0034578873105291
X	TRAJ10	TRBV2	TRBJ2-7	TRAJ10 TRBV2 TRBJ2-7	797.673755526764	1715.52406800137	1	2	Va8-3 Ja10 Vb2 Jb2-7	Va8-3 Ja10 Vb2 Jb2-7		84.6666666666667	6468.06666666667	1599.5	294736	35.1014895816369	2.87436741075453e-13	Ja-Vb-Jb	4.26544626286329e-08
X	TRAJ10	TRBV20-1	TRBJ1-4	TRAJ10 TRBV20-1 TRBJ1-4	847.593644057109	-115.373800023232	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		46	6468.06666666667	551	294736	12.0918541791072	6.43929354282591e-15	Ja-Vb-Jb	9.55610479635993e-10
X	TRAJ15	TRBV20-1	TRBJ2-1	TRAJ15 TRBV20-1 TRBJ2-1	240.065452273562	531.191293141585	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		161	5756	5417.5	294736	105.80020764345	1.32016334086771e-07	Ja-Vb-Jb	0.0195744579040478
X	TRAJ17	TRBV20-1	TRBJ1-2	TRAJ17 TRBV20-1 TRBJ1-2	330.586857746795	161.462707147954	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		122	6377	2701.5	294736	58.4504963764182	4.30766533554561e-14	Ja-Vb-Jb	6.39261843460304e-09
X	TRAJ18	TRBV30	TRBJ2-1	TRAJ18 TRBV30 TRBJ2-1	-1142.96484440516	1164.94814143155	3	2	Va12-1 Ja18 Vb30 Jb2-1	Va12-1 Ja18 Vb30 Jb2-1		27	2969	889	294736	8.95527183649096	2.13376169622137e-07	Ja-Vb-Jb	0.0316338706511603
X	TRAJ20	TRBV6-4	TRBJ2-1	TRAJ20 TRBV6-4 TRBJ2-1	-541.329797436675	123.012451960402	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		53	8159.33333333333	498	294736	13.7863986754248	0	Ja-Vb-Jb	0
X	TRAJ20	TRBV6-4	TRBJ2-3	TRAJ20 TRBV6-4 TRBJ2-3	-757.205743464656	167.602072332066	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		45	8159.33333333333	384.2	294736	10.6360127933699	2.22044604925031e-16	Ja-Vb-Jb	3.29527516385042e-11
X	TRAJ23	TRBV20-1	TRBJ2-1	TRAJ23 TRBV20-1 TRBJ2-1	392.246533406331	370.927015387642	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		230	8631	5417.5	294736	158.645168896911	1.91021665152391e-08	Ja-Vb-Jb	0.00283321423537375
X	TRAJ24	TRBV20-1	TRBJ2-5	TRAJ24 TRBV20-1 TRBJ2-5	498.583458319268	-186.339884454559	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		93.5	4251	3443.66666666667	294736	49.6682692307692	8.18219214604454e-09	Ja-Vb-Jb	0.00121367274321493
X	TRAJ27	TRBV2	TRBJ2-4	TRAJ27 TRBV2 TRBJ2-4	-2032.95959301008	276.845035543299	5	1	Ja27 Vb2 Jb2-4	Singleton		19.3333333333333	6086	223.333333333333	294736	4.61160722363969	5.57866677297625e-08	Ja-Vb-Jb	0.00827299546432059
X	TRAJ29	TRBV20-1	TRBJ1-1	TRAJ29 TRBV20-1 TRBJ1-1	-81.8202756675329	114.738668500453	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		116	7042.5	2573	294736	61.4799430676945	8.56892334866188e-11	Ja-Vb-Jb	1.27143970862775e-05
X	TRAJ3	TRBV20-1	TRBJ1-1	TRAJ3 TRBV20-1 TRBJ1-1	-18.7438141489239	9.72468505574554	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		99	5553.5	2573	294736	48.4812018212909	3.01191294127534e-11	Ja-Vb-Jb	4.46916677965259e-06
X	TRAJ33	TRBV6-4	TRBJ2-1	TRAJ33 TRBV6-4 TRBJ2-1	-511.723276144674	-105.859272816268	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		74.2	6061	498	294736	10.2409546170132	0	Ja-Vb-Jb	0
X	TRAJ33	TRBV6-4	TRBJ2-2	TRAJ33 TRBV6-4 TRBJ2-2	-789.885045877605	-205.924816582464	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		19	6061	137	294736	2.81729072797351	9.2246210670055e-12	Ja-Vb-Jb	1.36882307089081e-06
X	TRAJ33	TRBV6-4	TRBJ2-3	TRAJ33 TRBV6-4 TRBJ2-3	-855.510239411088	-46.1577729141827	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		49	6061	384.2	294736	7.90075253786439	0	Ja-Vb-Jb	0
X	TRAJ4	TRBV29-1	TRBJ2-5	TRAJ4 TRBV29-1 TRBJ2-5	-2202.35658197365	-193.522995571567	6	1	Ja4 Vb29-1 Jb2-5	Singleton		45.5	6929	729.666666666667	294736	17.1538608562691	3.24788473893278e-09	Ja-Vb-Jb	0.000481807461596984
X	TRAJ40	TRBV10-3	TRBJ1-5	TRAJ40 TRBV10-3 TRBJ1-5	755.224339589187	-2050.36751022321	7	1	Ja40 Vb10-3 Jb1-5	Singleton		27	9228.58333333333	274.2	294736	8.58557336056674	5.7824835586473e-08	Ja-Vb-Jb	0.0085751918181316
X	TRAJ45	TRBV12-5	TRBJ2-1	TRAJ45 TRBV12-5 TRBJ2-1	1869.72185650964	-1029.20074913978	8	1	Ja45 Vb12-5 Jb2-1	Singleton		25	7971.16666666667	278	294736	7.51853975535168	5.86478199338103e-08	Ja-Vb-Jb	0.0086971784570844
X	TRAJ45	TRBV2	TRBJ2-1	TRAJ45 TRBV2 TRBJ2-1	-698.061204484951	964.467743300286	9	1	Ja45 Vb2 Jb2-1	Singleton		72	7971.16666666667	1415	294736	38.2688264525994	2.29914263849551e-07	Ja-Vb-Jb	0.0340850195299598
X	TRAJ53	TRBV24-1	TRBJ1-5	TRAJ53 TRBV24-1 TRBJ1-5	1234.7990239573	-711.947886060477	10	1	Ja53 Vb24-1 Jb1-5	Singleton		24	6732.75	309	294736	7.0585871763205	7.24492110748543e-08	Ja-Vb-Jb	0.0107434935102901
X	TRAJ56	TRBV10-3	TRBJ2-7	TRAJ56 TRBV10-3 TRBJ2-7	127.641106896626	-1244.64411826191	11	3	Va13-1 Ja56 Vb10-3	Va13-1 Ja56 Vb10-3		24	3098.91666666667	695.833333333333	294736	7.31613889680558	1.84137396552764e-07	Ja-Vb-Jb	0.0273013152372921
X	TRAJ7	TRBV15	TRBJ2-7	TRAJ7 TRBV15 TRBJ2-7	-954.278659748909	1582.89409914041	12	1	Ja7 Vb15 Jb2-7	Singleton		21	2243	756.833333333333	294736	5.7596532716284	1.5967535227368e-07	Ja-Vb-Jb	0.0236752241569709
